factor,horizon,corr_with_forward_return,corr_with_big_up,corr_with_big_down,corr_with_clean_direction,mean_when_big_up,mean_when_big_down,mean_when_clean_up,mean_when_clean_down,difference_big_up_down,missing_rate,max_abs_tail_corr
m5_low_to_close_recovery,20,0.2172047018088295,0.19930451262812773,-0.07631335284411765,0.14315430586904562,0.019646929785255698,0.013435979069062241,0.01886929890759462,0.013708677233045278,0.006210950716193457,0.8446194225721785,0.19930451262812773
drawdown_60,10,-0.15252611505013636,-0.19907186795259565,0.0747955565784349,-0.1368039321708867,-0.07161574203229754,-0.047523971902326274,-0.06525688270943864,-0.04764102397196994,-0.02409177012997126,0.015143603133159269,0.19907186795259565
m5_midday_reversal_std_5,20,0.1701363254577089,0.1985394579355014,0.022658189684913035,0.08604255097946607,0.00780671962296912,0.006714554791454449,0.007430880504679956,0.006498526023658884,0.001092164831514671,0.8456692913385827,0.1985394579355014
drawdown_60,5,-0.12136840109912812,-0.19836181776101244,0.044323295717432584,-0.14572451159206568,-0.0725624173651151,-0.05159917721479205,-0.06707644621604007,-0.04829924835774448,-0.020963240150323047,0.015104166666666667,0.19836181776101244
daily_range_pct,10,0.20925045656235064,0.1982983716893441,-0.06762695131498944,0.14139876210199664,0.022302291565832053,0.01740780556533041,0.02113814414957921,0.017201880261056127,0.004894486000501644,0.0005221932114882506,0.1982983716893441
m5_down_volume_pressure,10,0.12004640409362055,0.196526505918948,-0.015693275631856757,0.12691426573999798,0.0007556544232606837,0.0006206519020959597,0.0007207679588524343,0.0005905756609429912,0.00013500252116472396,0.8402088772845953,0.196526505918948
atr_ratio_20,5,0.21316140594133265,0.19561290749516377,-0.04868400980353772,0.14686577919065394,0.0219853368101955,0.019057920164640498,0.02128458347890181,0.018679751424845438,0.0029274166455550005,0.0046875,0.19561290749516377
downside_volatility_20,3,0.13778399753710427,0.1954533990305493,-0.02266798115258586,0.11879920061399808,0.011741478754994584,0.009860115543721388,0.011118818780042849,0.009597919374308154,0.0018813632112731956,0.004682622268470343,0.1954533990305493
downside_volatility_5,5,0.1375247896822119,0.19543336125363173,-0.06973951719880754,0.16295174248180527,0.010169813291336012,0.007202840597299732,0.00958091530009808,0.006909669635727491,0.0029669726940362807,0.0010416666666666667,0.19543336125363173
m5_bar_range_mean,5,0.0876570567603176,0.19528248396065037,0.0003947578542710225,0.13807947058208062,0.0024317410913915604,0.002144809340213733,0.0023668665981172745,0.0020502731678461806,0.0002869317511778272,0.8380208333333333,0.19528248396065037
